School,City,Region,Applied,Admitted,Enrolled
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,56.0,45.0,12.0
ALLIANCE COLLINS FAMILY COLRDY,Huntington Park,Los Angeles,85.0,68.0,17.0
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,64.0,58.0,16.0
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,86.0,79.0,23.0
ALLIANCE HIGH SCHOOL,nan,nan,0.0,0.0,0.0
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,76.0,51.0,17.0
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,31.0,24.0,10.0
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,75.0,47.0,13.0
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,83.0,71.0,25.0
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,49.0,41.0,19.0
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,40.0,33.0,9.0
ALLIANCE OUCHI-O'DONOVAN 6-,Los Angeles,Los Angeles,81.0,53.0,12.0
ALLIANCE PATTI & PETER ACADEMY,Los Angeles,Los Angeles,88.0,64.0,15.0
ALLIANCE PIERA BARBAGLIA HSA,Los Angeles,Los Angeles,52.0,34.0,9.0
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,42.0,34.0,12.0
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,32.0,31.0,6.0
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,60.0,50.0,22.0
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,8.0,8.0,3.0
ALLISON ACADEMY,N Miami Beach,FL,0.0,0.0,0.0
ALLPS SCHOOL OF INNOVATION,Fayetteville,AR,0.0,0.0,0.0
ALMA BRYANT HIGH SCHOOL,Irvington,AL,0.0,0.0,0.0
ALMA HIGH SCHOOL,Alma,AR,0.0,0.0,0.0
ALMATY INTERNATIONAL SCHOOL,nan,nan,7.0,4.0,0.0
ALOHA COLLEGE,nan,nan,0.0,0.0,0.0
ALOHA HIGH SCHOOL,Beaverton,OR,5.0,0.0,0.0
ALONZO AND TRACY MOURNING SENIOR HS,North Miami Beach,FL,5.0,0.0,0.0
ALPAUGH HIGH SCHOOL,Alpaugh,Tulare,0.0,0.0,0.0
ALPHA CINDY AVITIA HIGH SCHOOL,San Jose,Santa Clara,31.0,18.0,5.0
ALPHA HIGH SCHOOL,Austin,TX,0.0,0.0,0.0
ALPHA SECONDARY SCHOOL,nan,nan,0.0,0.0,0.0
